ensemble_id,init_type,energy_rank,energy,rmsd_to_reference_A,pred_e2e_A,pred_rg_A,ref_e2e_A,ref_rg_A
128,random,128,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
129,random,129,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
130,random,130,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
131,random,131,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
132,random,132,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
133,random,133,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
134,random,134,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
135,random,135,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
136,random,136,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
137,random,137,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
138,random,138,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
139,random,139,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
140,random,140,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
141,random,141,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
142,random,142,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
143,random,143,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
144,random,144,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
145,random,145,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
146,random,146,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
147,random,147,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
148,random,148,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
149,random,149,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
150,random,150,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
151,random,151,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
